abraketi|amradesi
apradesi|amradesi
amrtapancamam|amrtapancamam
amrapancamam|amrtapancamam
amapancamam|amrtapancamam
amrtaraksani|amrtavarsani
amrtavarsani|amrtavarsani
anantan|ananda
andali|andolika
karnatakakadamba|anilamadhya
annavurdi|annavaridhi
ardrambari|ardhambari
kumkumambari|arudradesi
aruran|arunan
aryamati|aryamati
asamanjari|asamanjari
hasamanjari|asamanjari
anangadhari|asangadhari
asati|ashvati
astavadam|astapadam
ausadishapriya|ausadishapriya
shrikamalaptam|avilaksana
alivardhana|avivardhana
patari|badari
bahudarya|bahudari
bahumanini|bahumanini
balabhiti|balabhi
balamanjari|balamanjari
buddhavahini|bhadravahini
bhadravazhai|bhadravazhai
bhanugaula|bhamagaula
bhamamani|bhamamani
bhandi|bhandi
bharana|bharana
tarapati|bhaumukhi
bhavanottarm|bhavanottarm
payasvini|bhayasvini
bhinnahorali|bhinnapaurali
bhinnavarali|bhinnapaurali
bhogadhvaji|bhogadhvani
bhogibhairavi|bhogibhairavi
shribhramarauttari|bhramaravuttari
bhrngamohini|bhrngamohi
pusakalyani|bhusakalyani
vanavasundaram|bhuvanasundari
bhupkalyan|bilahari
ghatika|brndavanasaranga
shribrndavanasaranga|brndavanasaranga
saikataranjani|caitakaranjani
chatra|cakra
champakamalini|campakamali
campakamalika|campakamali
kokilabhupalam|camparantakam
capaganta|capagantarva
catam|chatravati
shatam|chatravati
chayavati|chayavati
cholakurinji|cholakurinji
citrasaurabham|citravani
citravani|citravani
citsvarupi|citsvarupi
cittamohini|cittamohini
des|des
deshisimhaaravam|deshisimhaaravam
deshyakapi|deshyakapi
deshyaregupti|deshyarevagupti
deshavali|deshyavarali
tanaranjani|dhanaranjani
dharanipriya|dharanipriya
dharmavati|dharmavati
dhatumanjari|dhatumanjari
datimanji|dhatumanjari
tavasarasiruha|dhavalasarasiruha
dhavalaangam|dhavalavarali
dhavalihamsi|dhavalihamsi
shridhavalahamsi|dhavalihamsi
pazhampanzharam|dheerasankarabharanam
shankarabharanam|dheerasankarabharanam
dhiranayaki|dhiranayaki
tirtharupa|dhrtarupa
devakirnava|dhruvakirnavam
dhurvahi|dhurvangi
nasamanjari|dhyutimalini
dirghamangali|diksamangali
dhivakriya|dipakriya
divyamangala|divyamangala
