shadjamam|షడ్జమం  
suddha rishabham|సుద్ద  రిషభం 
chatusruti rishabham|చతుశృతి రిషభం 
shatshruti rishabham|షట్శృతి రిషభం 
suddha gandharam|సుద్ద  గాంధారం  
sadharana gandharam|సాధారణ  గాంధారం 
antara gandharam|అంతర గాంధారం
suddha madhyamam|సుద్ద మధ్యమం 
prati madhyamam|ప్రతి మధ్యమం
panchamam|పంచమం 
suddha daivatam|సుద్ద దైవతం 
chatusruti daivatam|చతుశృతి దైవతం  
shatsruti daivatam|షట్శృతి దైవతం
suddha nishadam|సుద్ద నిషాదం 
kaisiki nishadam|కైసికి నిషాదం
kakali nishadam|కాకలి  నిషాదం
svarantara|స్వరాంతర 
audava|ఔదవ
shadava|షడవ 
sampoorna|సంపూర్ణ
svarantara-audava|స్వరాంతర-ఔడవ
svarantara-shadava|స్వరాంతర-శాడవ
svarantara-sampoorna|స్వరాంతర-సంపూర్ణ
audava-svarantara|ఔడవ-స్వరాంతర
audava-shadava|ఔడవ-షడవ 
audava-sampoorna|ఔడవ-సంపూర్ణ
shadava-svarantara|షడవ-స్వరాంతర
shadava-audava|షడవ-ఔడవ
shadava-sampoorna|షడవ-సంపూర్ణ
sampoorna-svarantara|సంపూర్ణ-స్వరాంతర
sampoorna-audava|సంపూర్ణ-ఔడవ
sampoorna-shadava|సంపూర్ణ-షడవ 
Jayachamarajendra Wadiyar|జయచామరాజేంద్ర వడియార్ 
A.s. pancaapakesha aiyyar|ఏ. ఎస్. పంచపకేశ ఐయ్యర్
Naraharidasa|నరహరిదాస 
Bhadrachala Ramadasu|భద్రాచల రామదాసు 
Gopalakrishna Bharati|గోపాలకృష్ణ భారతి
Pacchimiriam Adiyappa|పచ్చిమిరియం అదియప్పా
Bhaaratiyaar|భారతియార్
Sattur krishna aiyyangaar|సత్తూరు కృష్ణ ఐయ్యంగార్
Dandapani Desikar|దండపాణి దేశికర్
Chittoor Subramaniam Pillai|చిత్తూరు సుబ్రమణ్య పిల్లై
Marimutha Pillai|మరిముత్తు పిల్లై
Arunachala Kavi|అరుణాచల కవి
Periyasaamy Thooran|పెరియసామి తూరన్
Tulsidas|తులసీదాస్ 
Mysore Sadashiva Rao|మైసూరు సదాశివ రావు
Appiah dikshitar|అప్పీహ్ దీక్షితర్
Ramaswami Sivan|రామస్వామి శివన్
Mazhavai Cidambara Bhaarati|మజ్హవై చిదంబర భరతి
Purandara Dasa|పురందర దాస 
Arunagirinathar|అరుణగిరినాథర్ 
Patnam Subramania Iyer|పట్నం సుబ్రమణ్య ఐయెర్ 
M.S. Krishna Iyer|ఏం.  ఎస్.  కృష్ణా ఐయెర్ 
Subbarama Iyer|సుబ్బరమ ఐయెర్ 
Maha Vaidyanatha Iyer|మహా వైద్యనాథ ఐయెర్
Aandavan picchai| ఆనందవన్  పిచ్చై
Ceyyoor cengalvaraaya shaastree|చేయ్యూర్ చెంగల్వరాయ శాస్త్రి
Bangalore naagaraaj|బెంగళూర్  నాగరాజ్
N. S. Ramachandran|ఎన్. ఎస్. రామచంద్రన్
Ambujam krishna|అంబుజం కృష్ణ
T. S. Rangarajan|టి. ఎస్. రంగరాజన్
Pallavi Gopala Iyer|పల్లవి గోపాల ఐయెర్
R. Ramachandran Nair|ఆర్. రామచంద్రన్ నైర్ 
Papanasam Sivan|పాపనాసం  శివన్
Melattur Veerabhadrayya|మేలత్తూర్ వీరభద్రయ్య
T.K. Rangachari|టి. కె. రంగచారి
Atcutadaasar|అత్చుతదాసర్
Paidala Gurumurti Sastri|పైడల గురుమూర్తి శాస్త్రి
Veena Venkatagiriyappa|వీణ వేంకటగిరియప్పా
Ashok madhav|అశోక్ మాధవ్
Poonthanam Nambudiri|పూంతనం నంబూదిరి 
T.N. Baala|టి. ఏన్ బాల
Kadaloor subramaniam|కడలూర్  సుబ్రమణ్యం
S. Kalyanaraman|ఎస్. కళ్యాణరామన్ 
Veena Kuppayyar|వీణ కుప్పయ్యర్ 
Lakshmi Krishna|లక్ష్మీ కృష్ణ
Ariyakkudi raamaanuja aiyyangaar|అరియక్కుడి రామానుజ ఐయ్యంగార్ 
E.v. raamakrishna bhaagavatar|ఇ. వి. రామకృష్ణ భాగవతార్ భాగవతార్
Vinjamuri Varadaraaja Aiyangaar|వింజమూరి వరదరాజ ఐయ్యంగార్
Shyama Sastri|శ్యామ శాస్త్రి
Garbhapurivasa|గర్భాపురివాస 
Salem eeshwar|సలేం ఈశ్వర్
Dharmapuri Subbarayar|ధర్మపురి సుబ్బరాయర్ 
Kottavasal Venkatarama Iyer|కొత్తవసల్ వేంకటరామ ఐయెర్
Cinnakrishna daasar|చిన్నక్రిష్ణ దాసర్ 
Jayadeva|జయదేవ
Kannan aiyyangaar|కన్నన్ ఐయ్యంగార్
Tiruvettiyur Tyaagayya|తిరువెత్తియూర్ త్యాగయ్య 
Ghanam Krishna Iyer|ఘనం కృష్ణ ఈయెర్
Swarna venkatesha dikshitar|స్వర్ణ వెంకటేశ దీక్షితర్
Pallavi Seshayyar|పల్లవి శేషయ్యర్ 
K.s.krishnamurti|కె. ఎస్. కృష్ణమూర్తి
Duraiswaamy kaviraayar|దురైస్వామీ కవిరాయర్
Shyama Shastri|శ్యామ శాస్త్రి 
Tiruvarur Ramaswami Pillai|తిరువరూర్ రామస్వామి పిల్లై
Papanasa Mudaliar|పాపనస ముదలీర్
Indira Natesan|ఇందిర నటేసన్ 
Anai ayya|అనై అయ్య
vanamamalai jeeyar swamy|వనమామలై జీయర్ స్వమ్య్
Thanangampadi Panchanaada Iyer|తనంగంపడి పంచనాద ల్యెర్
Oothukkadu Venkata Kavi|ఊతుక్కడు వెంకట కవి 
Narayana Teertha|నారాయణ తీర్థ 
Agastyar|ఆగస్త్యర్
R. paarttasaarathy aiyyangaar|ఆర్. పార్థసారథి ఐయ్యంగార్
Lalgudi Jayaraman|లాల్గుడి జయరామన్ 
S. cidambaram|ఎస్. చిదంబరం
Seetaaraama aiyyar|సీతారామ ఐయ్యర్
Subbaraya Sastri|సుబ్బరాయ శాస్త్రి 
T. R. Subramaniam|టి. ఆర్. సుబ్రమణ్యం 
Sethumaadhava rao|సేతుమాధవ రావు
Subramania Bharati|సుబ్రహ్మణి భారతి 
Shuddhananda Bharati|శుద్ధానంద  భారతి
Muthu Thandavar|ముత్తు తాండవర్
Puliyoor Shree Duraiswaamee Aiyyar|పులియూర్  శ్రీ దురైస్వామీ  ఐయ్యర్
Poochi Srinivasa Iyengar|పూచి శ్రీనివాస ఈయెంగర్
M. Balamuralikrishna|ఎం. బాలమురళీకృష్ణ 
Sadasiva Brahmendra|సదాసివ  బ్రహ్మేంద్ర 
Madurai Srinivasan|మదురై శ్రీనివాసన్
Ponniah pillai|పొన్నీహ్ పిల్లై  
Ramalinga Adigalar|రామలింగ అడిగలర్ 
Maharajapuram Santhanam|మహారాజపురం సంతానం
Samuel Vedanayagam Pillai|సముల్ వేదనాయగం పిల్లై
Chowdiah|చౌదీహ్
Madurai Gs Mani|మదురై జి ఎస్ మణి  
Lingaraja Urs|లింగరాజ ఉర్స్ 
G. N. Balasubramaniam|జి. ఎన్. బాలసుబ్రమణ్యం
Muthiah Bhagavatar|ముథీహ్ భగవతర్
Rajee Narayan|రాజీ నారాయణ్ 
Vijaya Dasa|విజయ దాస 
Mysore Vasudevachar|మైసూరు వసుదేవాచార్ 
Kanaka Dasa|కనక దాస 
Meera|మీర
Annasaami shastri|అన్నసామి శాస్త్రి 
Neelakanta Sivan|నీలకంఠ  శివన్
Lalitha Dasa|లలిత దాస 
Tyagaraja|త్యాగరాజ
K ramaraj|కె. రామరాజ్
Annamacharya|అన్నమాచార్య
Guhan|గుహన్
Margadarsi Sesha Iyengar|మార్గదర్శి శేష ఐయెంగర్
Koteeswara Iyer|కోటీశ్వర ఐయెర్
Pattabhiramayya|పట్టభిరామయ్య
Deshika vinaayakam pillai|దేశిక వినాయకం పిల్లై
Venkataramana Bhagavathar|వేంకటరమణ భగవతార్ 
