shadjamam|షడ్జమం 
suddha rishabham|సుద్ద రిషభం  
chatusruti rishabham|చతుశృతి రిషభం 
shatshruti rishabham|షట్శృతి రిషభం
suddha gandharam|సుద్ద గాంధారం
sadharana gandharam|సాధారణ గాంధారం
antara gandharam|అంతర గాంధారం 
suddha madhyamam|సుద్ద మధ్యమం
prati madhyamam|ప్రతి మధ్యమం 
panchamam|పంచమం
suddha daivatam|సుద్ద దైవతం 
chatusruti daivatam|చతుశృతి దైవతం
shatsruti daivatam|షట్శృతి దైవతం
suddha nishadam|సుద్ద నిషాదం
kaisiki nishadam|కైసికి నిషాదం
kakali nishadam|కాకలీ నిషాదం
svarantara|స్వరాంతర
audava|ఔడవ
shadava|శాడవ
sampoorna|సంపూర్ణ
svarantara-audava|స్వరాంతర-ఔడవ
svarantara-shadava|స్వరాంతర-శాడవ
svarantara-sampoorna|స్వరాంతర-సంపూర్ణ
audava-svarantara|ఔడవ-స్వరాంతర
audava-shadava|ఔడవ-శాడవ
audava-sampoorna|ఔడవ-సంపూర్ణ
shadava-svarantara|శాడవ-స్వరాంతర
shadava-audava|శాడవ-ఔడవ
shadava-sampoorna|శాడవ-సంపూర్ణ
sampoorna-svarantara|సంపూర్ణ-స్వరాంతర
sampoorna-audava|సంపూర్ణ-ఔడవ
sampoorna-shadava|సంపూర్ణ-శాడవ
Jayachamarajendra Wadiyar|జయచామరాజేంద్ర వాడియార్
A.s. pancaapakesha aiyyar|A.s. పంచపకీష ఐయార్
Naraharidasa|నరహరిదాస
Bhadrachala Ramadasu|భద్రాచల రామదాసు
Gopalakrishna Bharati|గోపాలకృష్ణ భారతి
Pacchimiriam Adiyappa|పచ్చిమిరిం అదియప్ప
Bhaaratiyaar|భట్టారతియరు
Sattur krishna aiyyangaar|సత్తూరు కృష్ణ ఐయ్యంగార్
Dandapani Desikar|దండపాణి దేశికర్
Chittoor Subramaniam Pillai|చిత్తూరు సుబ్రమణ్య పిళ్ళై
Marimutha Pillai|మరిముత్తు పిళ్ళై
Arunachala Kavi|అరుణాచల కవి
Periyasaamy Thooran|పెరియస్యామీ తోరం
Tulsidas|తులసీదాసు
Mysore Sadashiva Rao|మైసూరు సదాశివ రావు
Appiah dikshitar|అప్పయ్య దీక్షితార్
Ramaswami Sivan|రామస్వామి శివన్
Mazhavai Cidambara Bhaarati|మజ్హవై చిదంబర భరతి
Purandara Dasa|పురమార దాస
Arunagirinathar|అరుణనగరినాథర్
Patnam Subramania Iyer|పట్నం సుబ్రమానియా అయ్యర్
M.S. Krishna Iyer|M.S. కృష్ణ అయ్యర్
Subbarama Iyer|సుబ్బరామ అయ్యర్
Maha Vaidyanatha Iyer|మహా వైద్యనాథ అయ్యర్
Aandavan picchai|ఆందవన్ పికాయ్
Ceyyoor cengalvaraaya shaastree|చేయోర్ సెంగలవరాయ షస్తశ్రీ
Bangalore naagaraaj|బెంగుళూరు నాగారాజ్
N. S. Ramachandran|ఎన్. ఎస్. రామచంద్రన్
Ambujam krishna|అంబుజం కృష్ణ
T. S. Rangarajan|టి. ఎస్. రంగరాజన్
Pallavi Gopala Iyer|పల్లవి గోపాల అయ్యర్
R. Ramachandran Nair|ఆర్. రామచంద్రన్ నాయర్
Papanasam Sivan|పాపనాసం శివన్
Melattur Veerabhadrayya|మేలటూరు వీరభద్రయ్య
T.K. Rangachari|ఒకోసారి చిదంబరనాథ రంగాచారి
Atcutadaasar|అతచుాతaశసర్
Paidala Gurumurti Sastri|పైడల గురుమూర్తి శాస్త్రి
Veena Venkatagiriyappa|వీణ వేంకటగిరియప్పా
Ashok madhav|అశోక్ మాధవ్
Poonthanam Nambudiri|పూంథనం నంబూదిరి
T.N. Baala|T.N. బలా
Kadaloor subramaniam|కడలోర్ సుబ్రమణ్యం
S. Kalyanaraman|ఎస్. కల్యాణరామన్
Veena Kuppayyar|వీణ కుప్పాయయ్యర్
Lakshmi Krishna|లక్ష్మీ కృష్ణ
Ariyakkudi raamaanuja aiyyangaar|అరియక్కుడి రామఅనుజ ఐయ్యంగార్
E.v. raamakrishna bhaagavatar|ఇ. ఇ. రామకృష్ణ భాగావతారం
Vinjamuri Varadaraaja Aiyangaar|వింజమూరి వరదరాజ ఐయ్యంగార్
Shyama Sastri|శ్యామ శాస్త్రి
Garbhapurivasa|గర్భపురివాస
Salem eeshwar|సేలం ఈశ్వర్
Dharmapuri Subbarayar|ధర్మపురి సుబ్బరాయర్
Kottavasal Venkatarama Iyer|కొత్తవాళ్ వేంకటరామ అయ్యర్
Cinnakrishna daasar|చిన్నికృష్ణ దాసర్
Jayadeva|జయదేవ
Kannan aiyyangaar|కన్నన్ ఐయ్యంగార్
Tiruvettiyur Tyaagayya|తిరువెట్టియూరు త్యాగయ్య
Ghanam Krishna Iyer|ఘనం కృష్ణ అయ్యర్
Swarna venkatesha dikshitar|స్వర్ణ వెంకటేశ దీక్షితార్
Pallavi Seshayyar|పల్లవి శేషయ్యయార్
K.s.krishnamurti|కె. ఎస్. కృష్ణమూర్తి
Duraiswaamy kaviraayar|దురైవామీ కవిరాయర్
Shyama Shastri|శ్యామ శాస్త్రి
Tiruvarur Ramaswami Pillai|తిరువారూర్ రామస్వామి పిళ్ళై
Papanasa Mudaliar|పాపనాస మొదలియార్
Indira Natesan|ఇందిరా నటేశన్
Anai ayya|అనై అయ్యా
vanamamalai jeeyar swamy|వానమామలై జేయర్ స్వామి
Thanangampadi Panchanaada Iyer|తాంగంపూడి పంచానద అయ్యర్
Oothukkadu Venkata Kavi|ఊతుకుక్కడు వేంకట కవి
Narayana Teertha|నారాయణ తీర్థం
Agastyar|అగస్త్యార్
R. paarttasaarathy aiyyangaar|ఆర్. పామత్తాశసారథి ఐయ్యంగార్
Lalgudi Jayaraman|లాలగుడి జయరామన్
S. cidambaram|ఎస్. చిదంబరం
Seetaaraama aiyyar|సీతారామ ఐలయ్యర్
Subbaraya Sastri|సుబ్బరాయ శాస్త్రి
T. R. Subramaniam|టి. ఆర్. సుబ్రమణ్యం
Sethumaadhava rao|సేతుమాధవ రావు
Subramania Bharati|సుబ్రమానియా భారతి
Shuddhananda Bharati|శుధ్ధనంద భారతి
Muthu Thandavar|ముత్తు తాండవర్
Puliyoor Shree Duraiswaamee Aiyyar|పులియోర్ శ్రీ దురైవాళీ ఐలయ్యార్
Poochi Srinivasa Iyengar|పూచి శ్రీనివాస అయ్యంగార్
M. Balamuralikrishna|ఎం. బాలమురళీకృష్ణ
Sadasiva Brahmendra|సదాశ్వ బ్రహ్మేంద్ర
Madurai Srinivasan|మదురై శ్రీనివాసన్
Ponniah pillai|పొన్నియా పిళ్ళై
Ramalinga Adigalar|రామలింగడి అదిగలార్
Maharajapuram Santhanam|మహారాజపురం సంస్థానం
Samuel Vedanayagam Pillai|శామ్యూల్ వేదనయగం పిళ్ళై
Chowdiah|చౌదియా
Madurai Gs Mani|మదురై Gs మణి
Lingaraja Urs|లింగరాజ సారులు
G. N. Balasubramaniam|జి. ఎన్. బాలసుబ్రహ్మణం
Muthiah Bhagavatar|ముత్తయ్య భాగవతార్
Rajee Narayan|రాజీ నారాయణ్
Vijaya Dasa|విజయ దాస
Mysore Vasudevachar|మైసూరు వాసుదేవాచార్
Kanaka Dasa|కనక దాస
Meera|మీరా
Annasaami shastri|అన్నాసామి శాస్త్రి
Neelakanta Sivan|నీలకాంత శివన్
Lalitha Dasa|లలిత దాస
Tyagaraja|త్యాగరాజ
K ramaraj|కె రామరాజ్
Annamacharya|అన్నమాచార్య
Guhan|గుహన్
Margadarsi Sesha Iyengar|మార్గర్సి శేషా అయ్యంగార్
Koteeswara Iyer|కోటీశ్వర అయ్యర్
Pattabhiramayya|పట్టాభిరామయ్య
Deshika vinaayakam pillai|దేషిక వినాశకం పిళ్ళై
Venkataramana Bhagavathar|వేంకటరమణ భాగవతార్
Spencer Venugopal|స్పెన్సర్ వేణుగోపాల్
Raghavendra Tirtha|రాఘవేంద్ర తీర్థ
