abhOgi kAnadA|10|abhogi
AnandkalyAN|1|anandi
bAgEshrI|10|bageshri
campak|3|balahamsa
khambAvati|3|balahamsa
bibhAs|4|bauli
chAyA|1|begada
hEmkalyAN|2|begada
behAg|2|behag
bhImpalAsi|2|bhimpalas
alahiya bilAval|2|bilahari
dEshAkSi|3|bilahari
bhaTiyAri|2|chayatarangini
darbArikAnaDA|6|darbarikanada
dEs|3|des
dEsgauD|3|deshyagaula
dEvaranji|4|devaranji
gArA|3|dhanakapi
dhanAshri|5|dhanyasi
ambikA|9|dharmavati
madhuvanti|9|dharmavati
bilAval|2|dheerasankarabharanam
shuddha bilAval|2|dheerasankarabharanam
dIpak|8|dipika
jaijaivanti|10|dvijavanti
multAni|7|gamakasamantam
jait|9|gamanashrama
mArva|9|gamanashrama
madhuranjani|10|gambhiranata
kusumaranjani|8|gaulipantu
gauri|4|gauri
gOpikAmbhOdi|10|gopikavasantam
hamIrkalyAN|1|hamirkalyani
hamsadhvani|2|hamsadhvani
hamskalyAN|1|hamsadhvani
malarANi|1|hamsanadam
pUria|9|hamsanandi
sOhini|9|hamsanandi
khamAj|3|harikambhoji
hEmant|2|hemant
mAlkauns|5|hindolam
indumati|8|indumati
jayant|10|jayantasena
mAlkali|6|jayantashri
pancam mAlkauns|5|jayantashri
jhinjOTi|10|janjuti
candrakauns|10|kataram
hamskalyAN|1|kalyani
sUryakauns|3|kamala
kamalamanOhari|4|kamalamanohari
pUriAdhanshrI|9|kamavardhini
pUrvi|8|kamavardhini
bAgEshrIkAnaDA|10|kanada
bahAr|10|kanada
bangalAbhairav|4|kannadabangala
bhImpalAsi|2|karnatakadevagandhari
dhanAshri |10|karnatakadevagandhari
khamAjI|3|khamaji
kAfi|10|kharaharapriya
auDhava bilAval|2|lalita
lalitpancam|4|lalitapanchama
vibhAvari|9|lasaki
durgA|2|madhuradhvani
madhmadsArang|10|madhyamavati
mAND|2|mand
manOhari|2|manohari
bhairav|4|mayamalavagaula
kalyAN|1|mechakalyani
yaman|1|mechakalyani
mEgharanji|4|megharanjani
bhUpali|1|mohanam
dEshkAr|2|mohanam
jaitkalyAN|1|mohanam
bhUpkalyAN|1|mohanakalyani
shuddha kalyAN|1|mohanakalyani
nAgasvari|3|nagasvarali
puNDalIka|3|nagavalli
tilak kAmOd|3|nalinakanti
nArAyaNi|3|narayani
asAvri|6|natabhairavi
nATakuranji|3|natakuranji
kEdAra|2|nilambari
adbhut kalyAN|1|nirosta
paraj|9|paraju
paTadIp|10|patadip
varaTi|9|patalambari
paTamanjari|10|phalamanjari
pIlU|10|pilu
kOkilapancham|6|prabhupriya
pratApavarALi|3|pratapavarali
pUrvakalyAN|9|purvikalyani
brndAvanisArang|10|puspalata
suhAkAnaDA|3|puspalata
rAgEshrI|3|ravicandrika
bairAgibhairav|4|revati
palAsi|10|rudrapriya
sindhUrA|10|salagabhairavi
bhaTiyAri|2|sama
chAyA|1|saranga
naTbhairav|4|sarasangi
sarasvati|1|sarasvati
shrIkalyAn|1|sarasvati
saurASTrabhairav|4|saurastra
jOgiyA|4|saveri
guNakrI|4|saveri
shahAnA|10|shahana
shankara|2|shankara
tODi|7|shubhapantuvarali
jIvanpuri|6|shuddhadeshi
gauNDgiri|10|shuddhadhanyasi
madhuranjani|10|shuddhadhanyasi
mArgabehAg|1|shuddhakoshala
durgA|2|shuddhasaveri
lAjvanti|2|shuddhasaveri
bhairavi|5|sindhubhairavi
sindhubhairavi|6|sindhubhairavi
salang|2|skandamanorama
sOraT|3|surati
lalit|9|suryalalit
shObhAvari|6|sutadri
takkA|4|takka
tilang|3|tilang
kalAvati|3|valaji
girijA|4|vasanta
basantmukhAri|4|vasantamukhari
yamankalyAN|1|yamunakalyani
