raga_name|kriti_name|composer_name|Link
shahana|Abhayambayam Bhaktim|Muthuswami Dikshitar|
shahana|Aryadevi Amareshanute|Muthiah Bhagavatar|
shahana|Cittam Irangadenaiyya|Papanasam Sivan|
shahana|Dehi Tava Pada Bhaktim|Tyagaraja|
shahana|Enna Perum Tavam|Periyasaamy Thooran|
shahana|Evaremi Bodhana Jesinaro|Patnam Subramania Iyer|
shahana|E Manatichccevo Emencinavo|Tyagaraja|
shahana|Giripai Nelakona Ramuni|Tyagaraja|
shahana|I Vasudha Nivanti Deivamu|Tyagaraja|
shahana|Jayajaya Raghurama|Swathi Thirunal Rama Varma|
shahana|Karunai Sheivaiye|Neelakanta Sivan|
shahana|Karuna Juda Rada|G. N. Balasubramaniam|
shahana|Karunimpa Idi-varnam|Tiruvettiyur Tyaagayya|
shahana|Manamu Kavalenu|Muthiah Bhagavatar|
shahana|Nannu Brova Jagelara|Veena Kuppayyar|
shahana|Nijamuga Ni Mahimalu|Tyagaraja|
shahana|Ragam Tanam Pallavi|Own/others|
shahana|Ragam Tanam Pallavi|Own/others|
shahana|Raghupate Rama Raksasa|Tyagaraja|
shahana|Rama Ika Nannu Brova|Patnam Subramania Iyer|
shahana|Rama Rama Rama Lali|Tyagaraja|
shahana|Shri Kamalambikayam|Muthuswami Dikshitar|
shahana|Shri Rama Shri Rama|Tyagaraja|
shahana|Shri Vatapi Ganapatiye|Papanasam Sivan|
shahana|Taramu Gadura|Mysore Vasudevachar|
shahana|Urake Galguna Ramuni|Tyagaraja|
shahana|Vandanamu Raghu Nandana|Tyagaraja|
suposini|Ramincuvarevarura Raghuttama|Tyagaraja|
shuddhalalita|Sahasrasheersha|Muthiah Bhagavatar|
kunjari|Abhimanamennadu Galgura|Tyagaraja|
mahuri|Mamava Raghuvira Martyavatara|Muthuswami Dikshitar|
purvagaula|Nilotpalambikayam Bhaktim|Muthuswami Dikshitar|
smokambari|Manasu Rada|G. N. Balasubramaniam|
amrtabehag|Kamala Carane|G. N. Balasubramaniam|
gurjari|Guni Janadinuta Guruguhodaye|Muthuswami Dikshitar|
gurjari|Varalandu Kommani Nayandu|Tyagaraja|
rudrapriya|Amba Paradevate|Krishnaswami Ayya|
rudrapriya|Gananayakam Bhajeham|Muthuswami Dikshitar|
rudrapriya|Rudra Kopa Jatavira|Muthuswami Dikshitar|
