nannu dOchukunduvaTe|gulEbakAvaLi katha|abheri
prEma yAtralaku bRndAvanamu|gunDamma katha|abheri
nIvEnA nanu talachinadi|mAyA bajAr|abheri
vennelalOni vEDi yElano|peLLinATi pramANAlu|abheri
challaga chUDAli pUlanu anduku|peLLinATi pramANAlu|abheri
rAvOyi chandamAma mA vinta|missamma|abheri
rAgamayi rAvE anurAgamayi rAve|jayabhEri|abheri
Urake kannIru nimpa kAraNa|lavakuSa|abheri
chigurAkulalO chilakamma|donga rAmuDu|abheri
kalavara mAye madilO|pAtALa bhairavi|abheri
praNaya jIvulaku dEvi varAlE|pAtALa bhairavi|abheri
nA kanTi pApalo nilachi pOra|vAgdAnam|abheri
ninna kanipinchindi nannu|rANi ratnaprabha|abheri
saDisEyakE gAli saDi sEyabOkE|rAjamakuTam|abheri
uyyAlajampAla lUgarAvayA|chakrapANi|abheri
padi mandilO pATa pADinA|Ananda nilayam|abheri
nIli mEghAlalO gAli keraTAlalO|bAvamaradaLLu|abheri
kAlam kAni kAlamlO kOyila kUta|appu chEsi pappu kUDu|abheri
kalayA nijamA tolirEyi prEma mahimA|kUlI nam. 1|abheri
araya nADu pedda pulivai|palnATi yuddham|abheri
nI lIla pADeda dEva|muripinchE muvvalu|abheri
tela vAradEmO sAmI|SRtilayalu|abheri
taka taka taka dham|jeans|abheri
nagu mOmu kana lEni|chakrapANi|abheri
nagu mOmu kana lEni|alluDugAru|abheri
AlapinchanA I vELa madhura smRtulE|SrI rAma paTTabhishEkam|abhogi
AnatinIyarA|swAtikiraNam|amrtavarsani
kurisEnu virijallulE|gharshaNa|amrtavarsani
sthirata nahi nahire mAnasa|dharma nirNayam|amrtavarsani
chaitramu kusumAnjali|Anandabhairavi|amrtavarsani
naTanam ADenE bhava timira haruDu|SubhOdayam|amrtavarsani
palukE bangAramAyerA|andAla rAmuDu|anandabhairavi
suvvi kastUri ranga|chillara koTTu chiTTemma|anandabhairavi
nI nagu mOmu nA kanulAra|baDi pantulu|anandabhairavi
EDavaku EDavaku yerri pApAyi|peLLi chEsi chUDu|anandabhairavi
nI vunDEdA konDapai|bhAgya chakram|anandabhairavi
evarE pilachE rallana|mallISwari|anandabhairavi
manchi dinamu nEDE|swargasIma|anandabhairavi
