Evari bodhana|abhogi|Patnam Subramanya Iyer|adi
Enta vanchana|anandabhairavi|Melattur Veerabhadrayya|adi
Elagu taludunamma|anandabhairavi|Melattur Venkataramana Sastri|ata
Sami neepai|anandabhairavi|Vina Kuppayyar|ata
Samini Rammanave|anandabhairavi|Syama Sastri|ata
Sadhu Sujana|arabhi|Palghat Parameswara Bhagavatar|adi
Sarasijamukhiro|arabhi|Pallavi Doraiswamy Iyer|adi
Sami ninnekori|athana|Patnam Subramanya Iyer|Khanda Ata
Janani|bauli|Vina Kuppayyar|ata
Dayanidhe|begada|Syama Sastri|adi
Inta chalamu|begada|Vina Kuppayyar|adi
Saraswatini sevinchi|begada|Ramaswamy Dikshitar|adi
Inta chowka|bilahari|Vina Kuppayyar|adi
Nenarunchi|bilahari|Sonti Venkatasubbayya|ata
Nenarunchi|chakravakam|Walajapet Venkataramana Bhagavatar|adi
Chalamela|darbar|Tiruvottriyur Tyagayyar|adi
Ninnento|devamanohari|Walajapet Venkataramana Bhagavatar|Khanda Triputa
Nikhila lokanayaki|dhanyasi|T K Govinda Rao|adi
Nenarunchi|dhanyasi|Vina Kuppayyar|ata
E Maguva|dhanyasi|Mysore Sadasiva Rao|adi
Sami Ninne|dheerasankarabharanam|Vina Kuppayyar|adi
Chalamela|dheerasankarabharanam|Swati Tirunal|ata
Rarapu seyaka|dheerasankarabharanam|Ramaswamy Dikshitar|ata
Gajananaya|dheerasankarabharanam|Muthuswami Dikshitar|Roopaka
Chelimikori|gaula|Tiruvottriyur Tyagayyar|adi
Pannagendra|gaula|Palghat Parameswara Bhagavatar|adi
Palumaru|gaula|Vina Kuppayyar|ata
Jalajaksha|hamsadhvani|Manambuchavadi Venkatasubba Iyer|adi
Sri Subramanyam|hamsadhvani|Ramaswamy Dikshitar|Roopaka
Rammanave|hindolam|Ramaswamy Dikshitar|ata
Dayajudavale|huseni|Melattur Veerabhadrayya|adi
Kamalamba|kalyani|Ramaswamy Dikshitar|adi
Sami ninne|kalyani|Palghat Paramesvara Bhagavatar|adi
Sarojaksha|kalyani|Walajapet Venkataramana Bhagavatar|adi
Vanajakshiro|kalyani|Ramnad Srinivasa Iyengar|adi
Vanajakshi|kalyani|Pallavi Gopala Iyer|ata
Sri Kamalamba|kamalamanohari|Ramaswamy Dikshitar|adi
Sri Ramachandra nadu|kamalamanohari|Walajapet Venkataramana Bhagavatar|adi
Sarasakshi|kambhoji|Vina Kuppayyar|adi
Taruni|kambhoji|Fiddle Ponnuswamy|adi
Inta chalamu|kambhoji|Pallavi Gopala Iyer|ata
Ninne kori|kambhoji|Annasami Sastri|ata
Sarasijanabha|kambhoji|Vadivelu|ata
Kamalakshi|kambhoji|Ghanam Krishna Iyer|Misra Jhampa
Pankajakshi|kambhoji|Maha Vaidyanatha Iyer|adi
Ninne kori|kanada|Vina Kuppayyar|adi
Neranammi|kanada|Ramnad Srinivasa Iyengar|ata
Aluganela|kannada|Melattur Veerabhadrayya|ata
Sarasalanu|kapi|Tanjore Quartette|Tisra Eka
Sumasayaka|kapi|Swati Tirunal|Tisra Eka
Kamakshi|karnatakakapi|Ramaswamy Dikshitar|adi
Samidaya|kedaragaula|Tiruvottriyur Tyagayyar|adi
Saminee|kedaram|walajapet Venkataramana Bhagavatar|adi
Sambho Mahadeva|khamas|Palghat Parameswara Bhagavatar|adi
Entani|khamas|subbarama Dikshitar|Tisra Eka
Rama Eevela|kharaharapriya|Tenmadam Narasimhacharlu|adi
Saraguna|madhyamavati|Tiruvottriyur Tyagayyar|adi
Sarasijanabha|mayamalavagowla|Swati Tirunal |adi
Neeve|mechakalyani|Syama Sastri|Tisra Matya
Ninnu kori|mohanam|Ramnad Srinivasa Iyengar|adi
Sariga|mohanam|Govindasamayya|adi
Sarasijakshi|mohanam|Vina Kuppayyar|ata
